models,Default0,Default1,Default2,Default3,Default4,Caroline_sugg_0,Caroline_sugg_1,Caroline_sugg_2,Caroline_sugg_3,Caroline_sugg_4,Caroline_sugg_0_2000,Caroline_sugg_1_2000,Caroline_sugg_2_2000,Caroline_sugg_3_2000,Caroline_sugg_4_2000,Default_avg,C_sugg_avg,C_sugg_2000_avg
xy_ar_u,0.002354860305786133,0.002054929733276367,0.0021216869354248047,0.0008170604705810547,0.0008127689361572266,0.0010640621185302734,0.0011320114135742188,0.0011887550354003906,0.0015239715576171875,0.000766754150390625,0.001337289810180664,0.001079559326171875,0.0012941360473632812,0.0011594295501708984,0.0010046958923339844,0.0014516115188598633,0.0011528730392456055,0.0011344552040100098
xy_ar_u2,0.001865386962890625,0.0019032955169677734,0.0017659664154052734,0.0007236003875732422,0.0007200241088867188,0.0008900165557861328,0.0008881092071533203,0.0009760856628417969,0.0010180473327636719,0.0006124973297119141,0.0006289482116699219,0.0015227794647216797,0.0005824565887451172,0.0009489059448242188,0.0009496212005615234,0.001278221607208252,0.0008736848831176758,0.0010009407997131348
xy_uni_logistic,0.003253936767578125,0.003257274627685547,0.003077268600463867,0.001050710678100586,0.0010542869567871094,0.0011539459228515625,0.0013942718505859375,0.001262664794921875,0.0013005733489990234,0.0009984970092773438,0.000997304916381836,0.0024843215942382812,0.0010073184967041016,0.0012712478637695312,0.001344442367553711,0.0021098852157592773,0.001239001750946045,0.0015268325805664062
xy_sinewn,0.0011327266693115234,0.0011217594146728516,0.0010530948638916016,0.0003829002380371094,0.00039267539978027344,0.0004241466522216797,0.0007779598236083984,0.000499725341796875,0.0005459785461425781,0.00039458274841308594,0.0003650188446044922,0.0005538463592529297,0.0003771781921386719,0.0004553794860839844,0.00043964385986328125,0.000737607479095459,0.0005545616149902344,0.0004565119743347168
ts_ar,0.0011687278747558594,0.0011258125305175781,0.001138448715209961,0.00046515464782714844,0.00046443939208984375,0.0006258487701416016,0.0009944438934326172,0.0007143020629882812,0.0007135868072509766,0.00038886070251464844,0.00038361549377441406,0.0007009506225585938,0.0003814697265625,0.0006945133209228516,0.0006878376007080078,0.0007984638214111328,0.0007027983665466309,0.0006161928176879883
ts_logistic,0.0006940364837646484,0.00066375732421875,0.0006465911865234375,0.00026869773864746094,0.0002682209014892578,0.0002467632293701172,0.00045871734619140625,0.0002460479736328125,0.00025153160095214844,0.0002262592315673828,0.00022339820861816406,0.000278472900390625,0.0002224445343017578,0.00024127960205078125,0.00024271011352539062,0.00046181678771972656,0.0002956390380859375,0.00024622678756713867
ts_sine_intmt,0.00044798851013183594,0.0005462169647216797,0.0005404949188232422,0.0002079010009765625,0.00020837783813476562,0.0002391338348388672,0.0004367828369140625,0.0002911090850830078,0.0003993511199951172,0.00021767616271972656,0.0002117156982421875,0.00025916099548339844,0.00021338462829589844,0.00026988983154296875,0.000217437744140625,0.0003757476806640625,0.0003362298011779785,0.00023996829986572266
ts_coinflip,0.004054546356201172,0.004849672317504883,0.0048754215240478516,0.0017724037170410156,0.0017771720886230469,0.0019905567169189453,0.002379179000854492,0.002644062042236328,0.002703428268432617,0.0020427703857421875,0.002225637435913086,0.002301931381225586,0.0016143321990966797,0.0021507740020751953,0.00215911865234375,0.0033186674118041992,0.0024423599243164062,0.0020565390586853027
ts_noise_wv_kurtosis,0.0004143714904785156,0.0006299018859863281,0.0006291866302490234,0.00022840499877929688,0.0002434253692626953,0.0002770423889160156,0.0003101825714111328,0.0003445148468017578,0.00035881996154785156,0.00024127960205078125,0.00038623809814453125,0.0003216266632080078,0.0002307891845703125,0.00028705596923828125,0.00030040740966796875,0.00043272972106933594,0.00031369924545288086,0.0002849698066711426
xy_FitzHugh_Nagumo,2.03438663482666,2.3884706497192383,2.2910549640655518,2.2481868267059326,2.481719493865967,2.956739664077759,3.140259027481079,4.04848837852478,3.0660462379455566,3.4752326011657715,2.3430821895599365,2.4495291709899902,3.1602931022644043,2.6342711448669434,2.9599461555480957,2.3523579835891724,3.432506561279297,2.8010098934173584
ts_chaoticLV,1.5676543712615967,1.523148536682129,1.077016830444336,1.085296869277954,1.2890651226043701,1.3974580764770508,1.4036345481872559,1.414071798324585,1.4462144374847412,1.4717094898223877,1.3741872310638428,1.4114189147949219,1.1651360988616943,1.122875452041626,1.306405782699585,1.2436318397521973,1.4339075684547424,1.2514590620994568
xy_Caroline_LV,1.4208869934082031,1.3018889427185059,1.0835154056549072,1.0857322216033936,1.407895565032959,3.7385613918304443,3.794767141342163,4.323946714401245,4.323876619338989,4.054689645767212,3.3208162784576416,3.2558212280273438,3.4904677867889404,3.639650583267212,3.4559333324432373,1.2197580337524414,4.124320030212402,3.4604682326316833
xy_Caroline_CH,3.484842538833618,4.1356470584869385,2.5183968544006348,2.514626979827881,2.893004894256592,9.497444868087769,9.710201501846313,10.232743501663208,9.312092781066895,8.71922492980957,8.493244171142578,8.044606924057007,8.171083927154541,8.199293613433838,8.062602996826172,3.0154189467430115,9.493565678596497,8.11939686536789
