tts,tts_naive
"[316.9939634799957, {'xy_Caroline_CH_surrY': {'lsa': {'tts': 0.075}}, 'xy_Caroline_CH_surrX': {'lsa': {'tts': 0.075}}}]","[611.1735627651215, {'xy_Caroline_CH_surrY': {'lsa': {'tts': 0.075, 'tts_naive': 0.03765690376569038}}, 'xy_Caroline_CH_surrX': {'lsa': {'tts': 0.075, 'tts_naive': 0.03765690376569038}}}]"
"[312.80736541748047, {'xy_Caroline_CH_surrY': {'lsa': {'tts': 0.075}}, 'xy_Caroline_CH_surrX': {'lsa': {'tts': 0.075}}}]","[614.116067647934, {'xy_Caroline_CH_surrY': {'lsa': {'tts': 0.075, 'tts_naive': 0.03765690376569038}}, 'xy_Caroline_CH_surrX': {'lsa': {'tts': 0.075, 'tts_naive': 0.03765690376569038}}}]"
"[319.5679657459259, {'xy_Caroline_CH_surrY': {'lsa': {'tts': 0.075}}, 'xy_Caroline_CH_surrX': {'lsa': {'tts': 0.075}}}]","[623.7759029865265, {'xy_Caroline_CH_surrY': {'lsa': {'tts': 0.075, 'tts_naive': 0.03765690376569038}}, 'xy_Caroline_CH_surrX': {'lsa': {'tts': 0.075, 'tts_naive': 0.03765690376569038}}}]"
"[300.8406753540039, {'xy_Caroline_CH_surrY': {'lsa': {'tts': 0.075}}, 'xy_Caroline_CH_surrX': {'lsa': {'tts': 0.075}}}]","[635.3378188610077, {'xy_Caroline_CH_surrY': {'lsa': {'tts': 0.075, 'tts_naive': 0.03765690376569038}}, 'xy_Caroline_CH_surrX': {'lsa': {'tts': 0.075, 'tts_naive': 0.03765690376569038}}}]"
"[290.7272243499756, {'xy_Caroline_CH_surrY': {'lsa': {'tts': 0.075}}, 'xy_Caroline_CH_surrX': {'lsa': {'tts': 0.075}}}]","[605.8081791400909, {'xy_Caroline_CH_surrY': {'lsa': {'tts': 0.075, 'tts_naive': 0.03765690376569038}}, 'xy_Caroline_CH_surrX': {'lsa': {'tts': 0.075, 'tts_naive': 0.03765690376569038}}}]"
"[301.9343101978302, {'xy_Caroline_CH_surrY': {'lsa': {'tts': 0.075}}, 'xy_Caroline_CH_surrX': {'lsa': {'tts': 0.075}}}]","[600.6613593101501, {'xy_Caroline_CH_surrY': {'lsa': {'tts': 0.075, 'tts_naive': 0.03765690376569038}}, 'xy_Caroline_CH_surrX': {'lsa': {'tts': 0.075, 'tts_naive': 0.03765690376569038}}}]"
"[306.2196958065033, {'xy_Caroline_CH_surrY': {'lsa': {'tts': 0.075}}, 'xy_Caroline_CH_surrX': {'lsa': {'tts': 0.075}}}]","[623.4560596942902, {'xy_Caroline_CH_surrY': {'lsa': {'tts': 0.075, 'tts_naive': 0.03765690376569038}}, 'xy_Caroline_CH_surrX': {'lsa': {'tts': 0.075, 'tts_naive': 0.03765690376569038}}}]"
"[302.47935819625854, {'xy_Caroline_CH_surrY': {'lsa': {'tts': 0.075}}, 'xy_Caroline_CH_surrX': {'lsa': {'tts': 0.075}}}]","[626.1292097568512, {'xy_Caroline_CH_surrY': {'lsa': {'tts': 0.075, 'tts_naive': 0.03765690376569038}}, 'xy_Caroline_CH_surrX': {'lsa': {'tts': 0.075, 'tts_naive': 0.03765690376569038}}}]"
"[301.66279458999634, {'xy_Caroline_CH_surrY': {'lsa': {'tts': 0.075}}, 'xy_Caroline_CH_surrX': {'lsa': {'tts': 0.075}}}]","[627.7806560993195, {'xy_Caroline_CH_surrY': {'lsa': {'tts': 0.075, 'tts_naive': 0.03765690376569038}}, 'xy_Caroline_CH_surrX': {'lsa': {'tts': 0.075, 'tts_naive': 0.03765690376569038}}}]"
"[299.8366105556488, {'xy_Caroline_CH_surrY': {'lsa': {'tts': 0.075}}, 'xy_Caroline_CH_surrX': {'lsa': {'tts': 0.075}}}]","[603.8198487758636, {'xy_Caroline_CH_surrY': {'lsa': {'tts': 0.075, 'tts_naive': 0.03765690376569038}}, 'xy_Caroline_CH_surrX': {'lsa': {'tts': 0.075, 'tts_naive': 0.03765690376569038}}}]"
,
