tts,tts_naive
"[0.06245779991149902, {'xy_Caroline_CH_surrY': {'pearson': {'tts': 0.09166666666666666}}, 'xy_Caroline_CH_surrX': {'pearson': {'tts': 0.09166666666666666}}}]","[0.0898594856262207, {'xy_Caroline_CH_surrY': {'pearson': {'tts': 0.09166666666666666, 'tts_naive': 0.04602510460251046}}, 'xy_Caroline_CH_surrX': {'pearson': {'tts': 0.09166666666666666, 'tts_naive': 0.04602510460251046}}}]"
"[0.05996870994567871, {'xy_Caroline_CH_surrY': {'pearson': {'tts': 0.09166666666666666}}, 'xy_Caroline_CH_surrX': {'pearson': {'tts': 0.09166666666666666}}}]","[0.0901331901550293, {'xy_Caroline_CH_surrY': {'pearson': {'tts': 0.09166666666666666, 'tts_naive': 0.04602510460251046}}, 'xy_Caroline_CH_surrX': {'pearson': {'tts': 0.09166666666666666, 'tts_naive': 0.04602510460251046}}}]"
"[0.05998396873474121, {'xy_Caroline_CH_surrY': {'pearson': {'tts': 0.09166666666666666}}, 'xy_Caroline_CH_surrX': {'pearson': {'tts': 0.09166666666666666}}}]","[0.08939480781555176, {'xy_Caroline_CH_surrY': {'pearson': {'tts': 0.09166666666666666, 'tts_naive': 0.04602510460251046}}, 'xy_Caroline_CH_surrX': {'pearson': {'tts': 0.09166666666666666, 'tts_naive': 0.04602510460251046}}}]"
"[0.059801340103149414, {'xy_Caroline_CH_surrY': {'pearson': {'tts': 0.09166666666666666}}, 'xy_Caroline_CH_surrX': {'pearson': {'tts': 0.09166666666666666}}}]","[0.08981108665466309, {'xy_Caroline_CH_surrY': {'pearson': {'tts': 0.09166666666666666, 'tts_naive': 0.04602510460251046}}, 'xy_Caroline_CH_surrX': {'pearson': {'tts': 0.09166666666666666, 'tts_naive': 0.04602510460251046}}}]"
"[0.05990195274353027, {'xy_Caroline_CH_surrY': {'pearson': {'tts': 0.09166666666666666}}, 'xy_Caroline_CH_surrX': {'pearson': {'tts': 0.09166666666666666}}}]","[0.08983397483825684, {'xy_Caroline_CH_surrY': {'pearson': {'tts': 0.09166666666666666, 'tts_naive': 0.04602510460251046}}, 'xy_Caroline_CH_surrX': {'pearson': {'tts': 0.09166666666666666, 'tts_naive': 0.04602510460251046}}}]"
"[0.06021475791931152, {'xy_Caroline_CH_surrY': {'pearson': {'tts': 0.09166666666666666}}, 'xy_Caroline_CH_surrX': {'pearson': {'tts': 0.09166666666666666}}}]","[0.0898280143737793, {'xy_Caroline_CH_surrY': {'pearson': {'tts': 0.09166666666666666, 'tts_naive': 0.04602510460251046}}, 'xy_Caroline_CH_surrX': {'pearson': {'tts': 0.09166666666666666, 'tts_naive': 0.04602510460251046}}}]"
"[0.06011009216308594, {'xy_Caroline_CH_surrY': {'pearson': {'tts': 0.09166666666666666}}, 'xy_Caroline_CH_surrX': {'pearson': {'tts': 0.09166666666666666}}}]","[0.09028458595275879, {'xy_Caroline_CH_surrY': {'pearson': {'tts': 0.09166666666666666, 'tts_naive': 0.04602510460251046}}, 'xy_Caroline_CH_surrX': {'pearson': {'tts': 0.09166666666666666, 'tts_naive': 0.04602510460251046}}}]"
"[0.06046414375305176, {'xy_Caroline_CH_surrY': {'pearson': {'tts': 0.09166666666666666}}, 'xy_Caroline_CH_surrX': {'pearson': {'tts': 0.09166666666666666}}}]","[0.09056854248046875, {'xy_Caroline_CH_surrY': {'pearson': {'tts': 0.09166666666666666, 'tts_naive': 0.04602510460251046}}, 'xy_Caroline_CH_surrX': {'pearson': {'tts': 0.09166666666666666, 'tts_naive': 0.04602510460251046}}}]"
"[0.060306549072265625, {'xy_Caroline_CH_surrY': {'pearson': {'tts': 0.09166666666666666}}, 'xy_Caroline_CH_surrX': {'pearson': {'tts': 0.09166666666666666}}}]","[0.08999300003051758, {'xy_Caroline_CH_surrY': {'pearson': {'tts': 0.09166666666666666, 'tts_naive': 0.04602510460251046}}, 'xy_Caroline_CH_surrX': {'pearson': {'tts': 0.09166666666666666, 'tts_naive': 0.04602510460251046}}}]"
"[0.06036376953125, {'xy_Caroline_CH_surrY': {'pearson': {'tts': 0.09166666666666666}}, 'xy_Caroline_CH_surrX': {'pearson': {'tts': 0.09166666666666666}}}]","[0.08930444717407227, {'xy_Caroline_CH_surrY': {'pearson': {'tts': 0.09166666666666666, 'tts_naive': 0.04602510460251046}}, 'xy_Caroline_CH_surrX': {'pearson': {'tts': 0.09166666666666666, 'tts_naive': 0.04602510460251046}}}]"
,
